text,sentiment_real,sentiment_previsto
@usairways landed safely everything worked out.,positive,positive
@jetblue hope so. plane appear leaving nearby terminal gate.,neutral,negative
@united airlines @comcast @xfinity cable/internet,negative,negative
@usairways updates flight 1917 philly la? sitting gate close 2 hours,negative,negative
@southwestair bad enough seat assigned he's seating exit seat male flight attendant removes,negative,negative
@americanair refund,negative,negative
@southwestair bad weather multiple cancelled flighted flights us scared! noted next time.,negative,negative
"@united uhuh.group trying get nashville iad today instead tomorrow,why preemptive though... https://t.co/ybv0xaowkv",neutral,neutral
"@southwestair sure,i'll send message now!",neutral,negative
@jetblue offering special fares @gopuregrenada @discovergrenada http://t.co/mbcehcszx3 @caribbejan @islandexpert http://t.co/2zm4jkalzl,neutral,neutral
@usairways ...you despicable! flight plan lost! we've sitting tarmac hour! 45 min flight!,negative,negative
@southwestair think group could use nice cold drinks get air...we 21 😜😎,neutral,negative
@united think best first class ever gotten!! denver lax wonderful!!!,positive,negative
.@americanair connect person without wait 2+ hours hold? still able resolve problem.,negative,negative
@usairways @obj_3 even airlines scheming get follow obj lmaooo 😂😂😂😂,neutral,negative
"@virginamerica well, didn't…but do! :-d",positive,positive
@usairways never mind could told gate way - could delay 10 mins 15?,negative,negative
@americanair thank acknowledgement. ife work well anyway maybe time upgrade lower profile system.,negative,positive
@americanair 1416 cancelled flightled? can't get two days? explanation?,negative,negative
@united great hear thankyou much. greatly appreciate replies. feel much settled now.,positive,positive
"@united thanks, ^kp. please also mention quiche breakfast tandoori chicken dinner entrees accompaniments truly first class.",positive,negative
@united really need better system handling cancelled flightled flights http://t.co/3ubcoasyws,negative,negative
"@united flight already cancelled flightled morning ""snow storm denver"". i'm dc waiting pilot get on+",negative,negative
@united denied. sure charge $150 one way $25 way hime,negative,negative
@americanair - sheer incompetence reigning dfw today. there. plane gd runway. doubt were.,negative,negative
@americanair robocalls another cancelled flightation. don’t accept change won’t let connect agent. wow.,negative,negative
“@jetblue: @analystdoc unfortunately that's available option current system. sorry guys. that's certain #fail fix plz.,negative,negative
"@united thanks trying take money without notice. industry, cancelled flight service, refund issued. cont…",negative,negative
@jetblue well lucky fly jb..i guess would even squished airline 😞,positive,negative
"@southwestair helped nice lady phx checkin. spent 4 hours hold 24 hours, might want look efficiency there.",negative,negative
"@americanair already spoke line, unwilling help - really poor support #hitawall",negative,negative
@americanair guys 5350 dfw stuck gate half hour. pull slide what?,negative,negative
@united no. entire problem never sent anything via email given flight booking problems number phone.,negative,negative
@usairways already tried. conf # via dm,negative,negative
@united dm me? hold customer service long time (53 min +) getting run-around. thanks.,negative,negative
"keep waiting, time cost anything @jetblue hundreds people payed thousand dollars feedback http://t.co/ji2pg4gom9",negative,negative
@virginamerica bad say takes 10 14 days via confirmation email. inquired 3 weeks claim 6 8 weeks!,negative,negative
@jetblue 4 hour policy- called said report soon enough. would changed noticed sooner?,negative,negative
@jetblue thank service credit. @pamgrout positive thoughts.,positive,positive
"@southwestair use #luv swa hour counting hold, flight cancelled flighted me? #noluv",negative,negative
@southwestair completely let tonight. gate agents' ambivalence much. sad (&amp; me.),negative,negative
@united yes. nonstop memphis tomorrow morning. snow coming got fingers crossed go.,neutral,neutral
@united @unitedappeals @gg8929 kind hypocrisy that? cancelled flightling tickets bad exchange rate advantage #united,negative,negative
@united keep flights cheap early/on time good. flew @americanair cancelled flightled flight 4 times last month. united&gt;,positive,negative
@usairways moving plane end runway us sit hour half. even let us off.,negative,negative
@southwestair great flight! great view! http://t.co/aufm4xdaj2,positive,positive
"@americanair @usairways ""ma'am complaint visit customer service desk"" {sees line ~45 people deep}",negative,negative
@jetblue wife dog. even let plane. daughter newburgh lives close by. wrong,negative,negative
"@southwestair yes - extra $77. wonder going yo loose, room.",negative,negative
@jetblue system running?,neutral,negative
@americanair customer svc reps unable handle calls. 24hrs cancelled flightlation policy? booked yesterday need cancelled flight,negative,negative
@united truly worst day flying ever experienced...,negative,negative
@usairways plz plz plz hold 4438 eyw. 810 phl &gt;clt sooo late flight. gonna miss connection @jabevan221 's 40th #gth239,negative,negative
@jetblue remember - i'm doubtful hopeful :(,negative,positive
@united splitting flights quadruples price,negative,negative
"@jetblue i'm getting info website, needing check alerts would much beneficial.",neutral,negative
"@usairways yes, horrible snow. seriously, hire people answer phones? competitor call back numbers.",negative,negative
@united looks like came through. thanks help.,positive,negative
"@southwestair big thanks team. family emerg, day ticket, experience excellent. 1st time flying yall, last!",positive,positive
@jetblue voucher.. can't believe took risk. plane terribly filthy 15 screaming babies face..,negative,negative
@usairways i've hold 40 minutes get receipt. know guys busy think time higher staff!,negative,negative
"@united plans ipad app? iphone app great, ipad flip ipad. beta? tks.",neutral,neutral
@united messaged requested- called baggage team again. still newark. please help let know next steps!!,negative,negative
@americanair cxl flights to/from dfw cll w/o notice treat like trash phone offer compensation? wth?,negative,negative
@jetblue terrible landing 915,negative,negative
@jetblue anywhere... away snow globe warmth sand palm trees..,neutral,neutral
@americanair attached original ticket. flight number 1672. experience thought would have. terrible! http://t.co/5sdlyn9mss,negative,negative
@southwestair boooo!!!!!! like airlines!! http://t.co/whagpknnlf,negative,neutral
@united charging people see freaking flight map? https://t.co/agpb45v8wt,negative,negative
@southwestair wifi plane gotta pay it? help broke homegirl out✈️📱,negative,negative
"@southwestair quick question - bought wifi phone, buy tablet? 9 hours left trip",neutral,negative
@usairways please go check process @americanair uses #mco. absolute disaster.,negative,negative
@southwestair thanks ella-mae las counter going beyond help us get back abq flight cancelled flightled!,positive,negative
@americanair nicest people ever flight chicago.thanks david deane &amp; norma sedholm making feel comfortable ✈️✈️✈️✈️✈️✈️✈️,positive,positive
"@united will, soon done article. thanks! ~tom",positive,positive
@usairways actually cared would one thing. sounds like like told lousy service is.,negative,negative
@united thanks remembering load bag onto connecting flight. oh wait forgot. iceland fun clothes....,negative,negative
@americanair qsvgru would next flight arrive?,neutral,negative
"@united consolation, staff stellar. hour+ delays encountered every one 4 flights.",negative,negative
"@usairways mean posted, usair empl direct anyone, 800# accepting calls, contact usair re: rebook #greatjob",negative,negative
@usairways made cancelled flight car reservation came money...why reschedule time without crew?,negative,negative
@virginamerica need follow back order dm.,neutral,neutral
@americanair check? reservation joe watson kelsey jennings. hold 2 hours. waiting call back now. eta?,negative,negative
@americanair get travel question answered quickly... online calling helping busy day,negative,negative
@jetblue way get 2 ppl standby list flight 1970 fll bos. trying find way home.,neutral,negative
@usairways flights dfw cancelled flightled today?,neutral,negative
@united certainly not.,negative,negative
@united fast enough. excuse service big hubs outdated craft. southwest wifi. awful.,negative,negative
"@jetblue well, fly huntsville, al. i'd take either nashville birmingham too!",neutral,neutral
@united gate! iad rdu,neutral,negative
@united charge delay further. united 1612 still waiting.,negative,negative
@americanair pretty frustrating can't even stay hold get help flight cancelled flightation!,negative,negative
@southwestair fort launder dale gate agent can't switch flights earlier flight phone...ridiculous,negative,negative
@jetblue suck customer services worst whats point loyalty scheme honor #badairline,negative,negative
@united us reboard without captain. we'll sitting another 20+ min? http://t.co/eerekdf9fq,negative,negative
@united forgot intl flights lax go intl terminal! easiest re-check ever! woo!,positive,negative
"@usairways horrible service, wrong plane arrived, many confirmed passengers could get flight paid due lack seats flight",negative,negative
"@united coach interior ua 992 looked like salvaged 80s. tiny unusable video, power &amp; lifevests floor #ua992 …",negative,positive
@united generic form tons fields asking info already? expected premier platinum. another #servicefail,negative,negative
@jetblue thank alicia! #exceptionalservice,positive,positive
@southwestair y'all fast already 5 winners! congrats!!,positive,neutral
@southwestair never felt better taken care of! indian aunties gold standard. thanks aruna! http://t.co/aypyaduy6a,positive,positive
"@jetblue empty ""help"" desks",negative,negative
"@southwestair love tv ad girl dancing. makes laugh every time, want take trip! :-)",positive,positive
@usairways oh irony. dog spot barking waiting area right front me! please send cocktail coupon stat,negative,negative
@southwestair 1 guest needs change flight reservation 2. it? need happen. say can...please help!,neutral,negative
"@jetblue thank you, really responding request, it? sending generic environment site.",negative,positive
"@southwestair tried leave monday, planes left mine. one keeps getting delayed. missed work. pay cab",negative,negative
"@united hi, booked flight yesterday received email w/ confirmation number today got error ""no active flight segments""",neutral,negative
@southwestair thanks southwest saving trip. sweetheart going miss seeing #altonbrownlive thanks y'all! #sohappy,positive,positive
@united followed baggage rules website still charges $150. going one way,negative,negative
@usairways need help flight. weather + funeral = tough combination. hold hour. please?,negative,negative
“@jetblue: fleet's fleek. http://t.co/rlwbj80ma5” r u serious,neutral,neutral
@jetblue @wsj team offering in-flight access journal content http://t.co/ptsbka4cdj,neutral,neutral
@united great way start vacation time departure! looking forward global first class suite!,positive,positive
"@jetblue want enter family pooling contest, says ""by 2/19"" website, please enter still!",neutral,negative
@usairways tried speaking multiple people reservations desk 30 min hold. #waivethefee #poorcustomerservice #neptune,negative,negative
@usairways flight 645 phoenix deboards passengers going salt lake city can't resolve simple bathroom issue. #fail,negative,negative
@usairways takes money requires 7 10 days process refund? auto attendant hang up? #usairwaysfail,negative,negative
"@americanair yes, says deliver within 6 hours pick line.",positive,negative
@united interview long take hear back,neutral,negative
@united thing fella done right today get pacific time zone.,positive,negative
@southwestair best video seen ever! - #teamspirit https://t.co/x5jena7nye,positive,positive
@united record denver concourse prior gettin shuttle. want confirm location,negative,neutral
@usairways difficult work baggage claims answer phone,negative,negative
"@southwestair completely understand act god weather-relate flightd cancelled flightlation, 4 days without reimbursement kind #unacceptable",negative,negative
@jetblue thanks quick response! fingers crossed plane gets,positive,positive
"@southwestair @leeannhealey all, yeah sale fares! got places fly! oh damn, right, live swa fly. #why",negative,negative
“@jetblue: fleet's fleek. http://t.co/5xgnyhgafz” hate,negative,neutral
@southwestair. important accept others are. #swadiversity,neutral,neutral
@usairways @americanair know...hockey sticks expensive. baggage handlers throwing cart.,negative,negative
@americanair getting bit ridiculous made miss 2 full days work pay cabs back forth,negative,negative
@usairways absolutely,neutral,negative
@usairways accommodated dsm flight tonight delay myrtle beach flight dsm back tonight?,negative,negative
"@usairways flt 4439 ground, gate us dca. happening?",negative,negative
@united can't american airlines suppose... http://t.co/0ewj7oklji,negative,negative
@usairways patience connecting flight need. guys every time travel? every. single. time.,negative,negative
"@usairways twitter reservations connected? people want? reservations, duh?!?!",negative,negative
@americanair @robinreda stuck two days airport something pretty normal. positive find plane europe,negative,negative
@southwestair left ipad flight 1831 erw den. opened claim 442998. many memories it. plz help get back.,negative,negative
@usairways want icecream baby...,neutral,negative
never got strip fast before. stoked special @imaginedragons show tonight! thx @southwestair! http://t.co/topqmvqnjp,positive,positive
@jetblue whatever lil #mint heart desires! http://t.co/wmx12f33zc,neutral,positive
@united flight mco delayed &amp; scheduled arrive connection departs. options have?,negative,negative
@southwestair ugh kicking missing #destinationdragons. need @imaginedragons back life http://t.co/sbehi46bmk,neutral,neutral
@jetblue #kudos! we're done heading warmer weather!,positive,positive
@usairways i’m unable use departing flight still use returning flight?,neutral,negative
@americanair appreciate apology. sincerely. thank you. that's really ever wanted begin with.,positive,positive
@united would like talk customer service agent service / non service received last flight week go. j,negative,negative
@usairways : maybe drive #usairwaysfail,neutral,negative
@americanair flights leaving dallas right now? maui trying figure delayed flight 7 going,negative,negative
@southwestair get kind update delayed flight boston houston 7:30? really need back home tonight!,negative,negative
"@united already rebook, miss first appointments london tomorrow morning. thanks ruining trip - again!",negative,negative
@americanair flight jfk ege cxld runway hour. flight moved 7am give luggage back. nice.,negative,negative
"@usairways apply ur credit card, automatically get companion certificate wait it?",neutral,negative
"@usairways nightmare ever end? found flight today delayed due ""ground handling delays affecting prior flight.""",negative,negative
@jetblue using jetblue air miles?,neutral,neutral
@americanair need go frm tpa mci tmrw &amp; connection thru dfw cancelled flightled. u connect thru diff city? hold 2 hrs,negative,negative
"@jetblue poor storm customer service, 1hr takeoff delay waiting snack cart, rude steward (no names) love guys. #trueblue",negative,negative
@americanair thank best could get rebooked. agent phone &amp; addtl resolution dm much appreciated.,positive,negative
@americanair changed aadvantage travel plans &amp; called 800-433-7300 get help sea ur busy &amp; hangs me. gives?,negative,negative
"@united understand, thanks",neutral,negative
@americanair thank update!,positive,positive
"@jetblue i'm disappointed flight cancelled flighted, mostly excited listen song ""i'm blue"" flying jetblue.",negative,negative
@united suck!,negative,negative
@jetblue thanks!,positive,positive
"@united ewr ppl told call 1800#, 2x/day since monday. still layover loc. ref # tho. help appreciated.",negative,negative
@southwestair rescue. sundown chicago. next stop san antonio! http://t.co/rqbpmwettq,neutral,neutral
@jetblue letting san fran. media rate? what's deal? looks like last time fly anywhere you.,negative,negative
@united news departure flight ua51?,neutral,negative
@united never fly again. went vacation week lost bags ways. clothes. thankyou,negative,negative
@americanair raleigh updated southern states advisory???,negative,negative
@united nightmare continues... http://t.co/tsvgbrl15f,negative,negative
@usairways ok 4th try today....giving 12.45am 138 minute hold time. #terrible http://t.co/ps9q9rpsil,negative,negative
"@americanair fly american family severe weather excuse can't call make change, computer u cant modify",negative,negative
"@southwestair still able get through, thanks responding",neutral,negative
@americanair thanks! is.,positive,negative
"@southwestair change hold music, going hour 3 i'm loose",negative,negative
@southwestair bag possession clothes bag??,negative,negative
@americanair thanks canned response makes look like care customers. i'm sure twitter users fall it..,negative,negative
@usairways checked online tomorrow's flight - thought get auto upgrade? (already got email saying seats),neutral,negative
@united san diego chicago. leaving 6:15 tomorrow,neutral,negative
"@united, we're stuck ogg, looks like flight cancelled flightled. help? =)",negative,negative
@americanair good morning! wondering pre-tsa check boarding pass morning??,neutral,neutral
@southwestair hold waiting make special accommodations mom traveling 1 hour 24 minutes hold. unacceptable!,negative,negative
@americanair still hold. hung first time (another 45 minutes!) http://t.co/imrlau77ih,negative,negative
power moves rt @jetblue: fleet's fleek. http://t.co/t9s68korsn,positive,neutral
@united nope - still one helped me. giving united. #badservice,negative,negative
@americanair lady b1 abq 5347 2/23 great service among several cancelled flightlations,positive,positive
@americanair situation jfk evening going get better worse ? cancelled flight flight like yesterday 8h delayed,negative,negative
@americanair @rldelahunty record l#oaaret got email get rescheduled another flight know flight cancelled flightled,negative,negative
"@usairways also, explain why, checked in, us airways site, &amp; picked ""standby 1st"" put list?",neutral,negative
@usairways emailed week ago still nothing...,negative,negative
@southwestair know crew today flight #1071 aus pdx awesome! #swa,positive,positive
@americanair @beantownmatty sounds like date!,positive,positive
@southwestair betsy besty! gettin' stuck #las might bad most..but want home! #homewardbound #betsy #besty #thankyou,negative,negative
@usairways three hour delay miami london. none flights today delayed. put another flight!,negative,negative
@usairways upset customer service. simple question phone system disconnected day today yesterday.,negative,negative
@virginamerica lots flights book site working!!!! i've phone waiting 10 minutes..........,negative,negative
@usairways sitting runway 3 hours leave airport w/o luggage. ur 1st day??,negative,negative
@usairways found great prices thru us air honeymoon. website wont work hold hour told 10 min,negative,negative
@jetblue agents iad compounded problem making announcements #jetbluemess,negative,negative
@americanair @americanair expect that?,negative,negative
"@americanair dear american, 2 hour hold times become industry standard? heard additional staffing weather?",negative,negative
stop. using.this.word. if. you're. a. company. rt @jetblue: fleet's fleek. http://t.co/fd2tnyctrb,negative,neutral
@united seriously? 2-4 hrs get bags iad intl arvls carousel 2 custs w/cancelled flightled connects? understand irrops ridiculous!,negative,negative
@southwestair possible add companion 2nd leg trip?,neutral,neutral
@usairways utterly unreliable! schedule pilot us624 flight seattle - flights delayed #usairwaysfail,negative,negative
@usairways i’ll addition reviewing blog. agents pleasant experience less :/,negative,positive
"@usairways us 728 returned gate get ""mel"" sticker. oh, look. heard pilot! clue mel sticker is. anyone?",negative,negative
@usairways change correct last name? via reservations already said can't change ticket name..,neutral,negative
@southwestair 20 minutes hold waiting ridiculous......,negative,negative
@usairways best!!! follow please;)🙏🙏🙏✌️✌️✌️🙏🙏🙏,positive,neutral
lord why“@jetblue: fleet's fleek. http://t.co/nlzs1ehnee”,neutral,neutral
"@united thanks! lol! #ua6259 wait us. per @flightaware, tail number #ua5525 :)",positive,negative
@jetblue blaming @tsa flight 584 luggage debacle! #luggagegate,negative,negative
"nice try @americanair heard crew whisper ""she's still hotel, probably think work tomorrow""",negative,negative
"@united no, ua 6 finally cancelled flighted hrs delay. replacement flight leaves late flightr one scheduled tomorrow. cool.",negative,negative
@jetblue big board says leaving 8:30 😩,negative,negative
"@usairways nothing done online help? bought birthday present, trying able afford change",neutral,negative
@americanair thank replying. trying figure get dfw,positive,negative
"@usairways way tell gate going? stuck tarmack, int'l flt flt 878 going elm gate f6",negative,negative
@virginamerica - many apologies! r worse airlines! even respond cudtomers,negative,negative
@southwestair again! trying rebook fare wanna get away pricing disappeared time refreshed. normal?,negative,negative
@jetblue thank you. appreciate that!!,positive,positive
@virginamerica taking 12 years fly home dallas? get shit together.,negative,negative
@usairways stop cancelled flighting flights provide real help customers. #strandedinnashville,negative,negative
@americanair fat man stuck airplanes bathroom,negative,negative
"@virginamerica @ladygaga @carrieunderwood sorry, mary martin first!",neutral,neutral
@americanair flight tomorrow reservation coming up. help me!,neutral,negative
@usairways horrendous. pull shit together,negative,negative
"@united hi, flying domestic first sea hnl. pay use lounge fly international? thanks",neutral,neutral
@united why? waste time airline get automated message? disappointing always.,negative,negative
@united customer service terrible,negative,negative
@southwestair mines?,neutral,negative
@usairways vegas baby good time vegas lol,neutral,neutral
"@usairways waive fee time cancelled flightation, waive future date! #usairways #ripoff #poorcustomerservice",negative,negative
@united u gate ready gate agent going hour two,negative,negative
@united allow families small children board first anymore? next flight another airline...,negative,negative
@united u guys changed ages double booked seats i've even though platinum person none,negative,negative
@southwestair thx. make right. help meagan fouty brancato fl#2771 dfw gate 4 preboard w/kids - b4 group please. please.,positive,negative
"@united: feel well informed. yes, flight indeed delayed. thank you. http://t.co/fuchzrzjg5",negative,positive
@americanair trying add tsa pre check number reservation online see option that..?? #nosecuritylines,negative,negative
@usairways @beamske real live person talk person whose luggage lost 4 days vacation wrecked . @yorkshire2002,negative,negative
@united frontier ... http://t.co/n8winfu6c5,neutral,neutral
"@usairways tyvm usair, happy night@ &lt;3",positive,negative
"@united ask, call get fixed? tweeting bs questions stall makes things worse. phone number please.",negative,negative
@americanair understood. thanks anyway,positive,negative
@americanair almost 3 million miles w u loyal u. r u going reciprocate? joke,negative,negative
@usairways told record refund. someone please help me. long day,negative,negative
@usairways please improve phone system! going multiple prompts &amp; menus told call back late flightr = major fail,negative,negative
“@usairways: @annettenaif appreciate #shoutout roberto. dm confirmation code forward kind words.” sent,neutral,positive
"@united way, simple apology goes long way, even hollow one. obvious care well-being,",negative,negative
@united rude rude,negative,negative
@united incentive give another chance?,negative,neutral
"@jetblue's #valentinesday email point &amp; clever! thanks amazing, #jetblue! #loveisintheair http://t.co/docmvotwti",positive,positive
@southwestair yes please,positive,negative
@southwestair 4 hours delays make nice offer rescheduling next day... but...,negative,negative
@usairways rebooked missed flight..never called didnt check email. (cont) http://t.co/utfdhxa8pu,negative,negative
"@usairways thank you, says website",neutral,negative
@americanair email phone call nothing. screwed flight family/friends flights. cancelled flighted reservations,negative,negative
@americanair fcuk you. shit service. got fans.,negative,negative
@usairways lack customer service shined. need step get lost baggage delta. return me.,negative,negative
@southwestair guy flight attendant last flight… hilarious! ☺,positive,negative
@scm1133 @usairways hate delays!! tried these?! http://t.co/7stktjxan1 (although we're sure timbit is...),negative,negative
@jetblue that's option us. help fix this? would've made change earlier given accurate info.,negative,negative
"@americanair worst flights customer service, second time i've cancelled flighted. gotta pay hotel find rides now.",negative,negative
@southwestair unfortunately call answered service horrid. swa role-model finger pointing &amp; excuses #disappointed,negative,negative
@americanair worry steal money,negative,negative
"@usairways 8 hour delay pho-mia, airline bad getting worse, foolish american merge. treat customers like crap",negative,negative
@jetblue love traveling jetblue. cant wait go paris oui oui!!! nyc awesomeee!,positive,neutral
@americanair 800 number even let wait next customer rep. frustrating. can't talk humans.,negative,negative
"@americanair good enough. info communicated point - silence. hours sat. oh, seat broken. #worst",negative,negative
@jetblue washington dc (:,neutral,neutral
@united mind?,neutral,negative
@jetblue thank opening conversation. hope make right.,neutral,positive
@virginamerica fyi info@virginamerica.com email address say contact password reset emails exist. emails bounce.,negative,neutral
"@united hi yes need free hotel stay honalulu due 4 hour delayua53, since miss second flight kauai",negative,negative
@americanair thanks 😩. idk still late flight hope get tonight 😭,positive,negative
"@united yeah, tried 10 times two different tickets, told ""try late flightr"".",negative,negative
@usairways hi flying myr-clt-ord tomorrow weather looking ok problematic?,neutral,neutral
@jetblue ticket issued whilst delivering customers.,negative,negative
@united lost wallet flight 1007 yesterday houston bogota. filled online form. response yet.,negative,negative
@usairways thank reaching me. hopefully request fixed remain loyal customer.,negative,positive
"@americanair no, dm me, pay money want reach help? way around",negative,negative
@southwestair sent another 4 drink coupons....i think 30 coupons now. free drinks anyone?,positive,negative
@usairways southern hospitality luggage delivery service sav awful. great @ delivering empty promises luggage #8hrs&amp;waiting,negative,negative
@united would great - 1k us651621,positive,negative
"@southwestair done. sorry, thought already.",neutral,negative
@southwestair hold 2 1/2 hrs. can't get 2 airport 4 flight icy country backroads! help pls? @southwestair #bna,negative,negative
@united checking see flight 3466 (atl-ord) got cancelled flighted?,negative,negative
@americanair flight 386 jacksonville fl dallas showing cancelled flightled. going on? rebooked another flight?,negative,negative
"@united flight scheduled 11:56, 1:05 moved. never flight everyone moved without sense",negative,negative
@americanair tried book rwrd told couldnt. bought tix usair (now aa-no choice) bother + aadv# svc...,negative,negative
@ninadavuluri think treat onboard! enjoy flight. 💙,positive,positive
@united - flight 1114. unfortunately isolate flightd incident. waited less 20min years,negative,negative
@usairways cost $900 change $100 ticket cost $150 purchase new ticket?,negative,negative
@americanair - @airsouthwest flight chicago buffalo hour flight -- care safety?,negative,negative
@united going you? nothing like always,negative,negative
@americanair biggest joke i've ever seen telling everyone never use guys cause joke,negative,negative
"@usairways yes, delta!",neutral,negative
"@jetblue token $75.00 goodwill voucher passengers stuck flight 136 phoenix today. 3 hour mark. $27,000 per passenger",negative,negative
@united os controlled rather @verizonwireless . app new.,neutral,negative
@americanair expecting delays/cancelled flightlations dallas 25/26th due snow? nothing like monday hope!,neutral,negative
"@usairways yes, ground crew finally showed plane could depart late flight.",negative,negative
"@usairways first pilot late flight, maintenance. exactly happened two weeks ago. unacceptable.",negative,negative
thx! stand by! “@united: @rajuchinthala know frustrating appreciate patience try get way. ^jh”,neutral,negative
@southwestair here. would appreciate follow dm info figure supposed do.,negative,neutral
@americanair gets better...other passengers rebooked direct airlines. #whereisthelove #whybeaaff?,negative,negative
"@united aw, thanks kind words. totally makes extra 6 hours sitting airport soooo much better.",positive,negative
@usairways put back hold hour completely unacceptable.,negative,negative
@united get help changing ticket. 40 minutes hold counting....,negative,negative
@united poor old united: never seem get response right :),negative,negative
"@americanair okay. since put earlier flight, buy ticket another airline.",negative,negative
@jetblue walked gate ask desk gate 1 http://t.co/p6ucbvlv5e,negative,negative
sigh... “@jetblue: fleet's fleek. http://t.co/w5nl0ay9bl”,neutral,neutral
@jetblue one look up? must getting old... #damn,negative,negative
@virginamerica got cheese plate flights too.,neutral,positive
@jetblue well time going happen now. safety come 1at. looks like i'll 2 look 4 another flight #1sttimeflyer,negative,negative
@usairways lol thanks switch american http://t.co/sl6bdrxfn8,negative,neutral
"@americanair flight aa1119, cx aa157. killing layover, still wanting breakfast. i'm hungry! get dfw!",negative,negative
@usairways enormous lines customer service two agents kind service .. http://t.co/ffanixjhwh,negative,negative
@united also ice frozen metal walkway. wasted 40 minutes one knew simple jobs.,negative,negative
@usairways thanks. 😒,positive,negative
@americanair needs get shit together. 2 counter people &amp; massive line. people need catch flights! http://t.co/4mqfmxebxt,negative,negative
@southwestair thanks! excited see :d,positive,positive
@americanair booked aa3370 departing jfk 2/25/15. booked via ba want change ff# aa via twitter?,neutral,negative
"@southwestair hold hour.....not cool, guys.",negative,negative
@united okc ticket agent roger mclarren(sp?) less helpful intl group travel problems can't find supervisor help.,negative,negative
@jetblue give update flight 1684 mco-&gt;jfk? they're saying mechanical issues disclose are...,negative,negative
@united $7 wifi tell family i'm gonna late flight cause sit grounded plane past two hours...,negative,negative
@usairways seriously. ridiculous. wait hour luggage land. #wtf,negative,negative
@usairways learned although travel policy waive change fee-you still charged $25 reservation fee,negative,negative
@usairways pre schooler develop app? thing crashes every single time.,negative,negative
@americanair @kaps12 international airline experienced record profits last quarter. can't staff call center,negative,negative
@usairways question : downgrade include losing first class get money back ? http://t.co/lft7qd23sy,neutral,neutral
@jetblue exciting times ahead! 😁🎉,positive,negative
@jetblue awesome thanks! thanks quick response. guys rock! :),positive,positive
@usairways manage place family 5 plain none sitting next one 3yr old,negative,negative
@jetblue @americanair ah ha! misread end date 2014 2015. thanks clarifying :),positive,positive
@usairways thanks! need locate luggage is!,negative,negative
@southwestair jackpot! #legroom http://t.co/zo2iceg4li,positive,neutral
@usairways @americanair seriously service issues right decide tweet?? unbelievable,negative,negative
@southwestair anyone answering phones rebook cancelled flightled flights?,negative,negative
@jetblue never airline refuse help sit parents tiny kids. guy willing it. #jetblue http://t.co/mzzfgqfhu2,negative,negative
"@americanair $600 late flightr, 2 complete itinerary changes, lost work time, yeah ""i"" got rebooked",negative,negative
@jetblue thank jetblue credit. nice save :-),positive,positive
@usairways thanks helping #reflight booking problems #cancelled flightedflight yvonne anthony. help us get tel aviv time. #happyfriday,positive,negative
@usairways can't wait never fly again. always delayed. always lose bag. rudest people planet. southwest best,negative,negative
"@united ""the extra care airline"". #unitedairlines care. trust me. #customerservice non existent. 1",negative,negative
"@united nope. walked &amp; orf terminal, &amp; united agent found. showed @ last minute board us. many panicked people",negative,negative
@united sent dm now. thanks incredibly happy fast response got via twitter via customer care. thank,positive,positive
@jetblue flight 1562 still waiting bags. us checked 12 hours ago. people missing connections. please help!,negative,negative
@united false.,negative,negative
"@united voucher expires next week, get extension expires?",neutral,negative
"@southwestair truly best #customerservice. something goes wrong, matter big small issue was, fix it. thank",positive,negative
@jetblue 6 hour delay. supposed land 9pm 3am. still boarding. #epicfail,negative,negative
@united speaks basically worst designed web system ever.,negative,negative
@united thanks effing holidays - we're missing full day skiing due baggage team's incompetence @flyyow,negative,negative
@usairways seats. phone iwas told getting error msg due paid 1st class upgrd. told check 12am.sound right?,negative,negative
@united i'm snowy roads bwi. called mileageplus &amp; told flight cancelled flighted 1 1/2 hours ago. rcvd notification. pls help,negative,negative
"@usairways says call. connecting, get song, dance weather. weather bad 3 days? called 2 days before. #wasteoftime",negative,negative
@americanair - keeping aa air! crew chief cousin alex espinosa dfw! http://t.co/0hxlnvzknp,neutral,negative
@americanair flt 7a tom. rec'd notification i'm going airport,negative,negative
“@jetblue: @2littlebirds beautiful shot.. thanks sharing. using #flyfi post? ;)” welcome! flight. quickie;),positive,positive
"@jetblue horrible experience check agent fort myers, i'll document send details, boston",negative,negative
@usairways thank you! calling you! #cheapoairchat,positive,positive
"@united really fucked day hilo lax 2hr30min delay software? missed connection, getting home 8hrs late flightr upgrade nothin",negative,negative
"@americanair issue requires bit tweet explain, y’all email?",neutral,negative
@southwestair that's bull. add fare cart locked in. made way paypal.,negative,negative
"@usairways great operation guys running. mechanical issues, taping piece plane together lol http://t.co/i5v9wfbtue",neutral,negative
"@southwestair - get weather delays hands, nothing else offer massive inconvenience?",negative,negative
@southwestair favorite airlines. i've never issues them. plus crew entertaining.,positive,negative
@usairways i'm glad too. spend hour try track basic information already available.,negative,negative
@americanair thank much helps lot.,positive,positive
"@jetblue no, weird!! picked cities test, worked...not one want. works phone though, i'll use that.",neutral,negative
"@americanair giving hard time...just looking basic customer service aa lost bag. eta return, please????????",negative,negative
"@united process purchasing ticket, prices changed. unbelievable. #ripoffs #pricediscrimination",negative,negative
@usairways customer service line keeps telling call back late flightr disconnects. talk someone flight?,negative,negative
"@southwestair tried dm you, let says following me.",neutral,negative
@southwestair question re: atl companion pass offer. know need 3 revenue flight roundtrips. what's revenue flight? thnx,neutral,neutral
